,filename,text_length,lexical_density,average_sentence_length,average_word_length,oov_word_counts,reading_ease,punctuation_count,type_token_ratio,asian_context_feature,asian_imp_word,non_asian_imp_word,noun_counts,verb_counts,adjective_counts,target_region
0,100060,281,0.4804270462633452,70.25,4.259786476868327,21,18.717015124555175,18,0.61,0,0,1,79,41,11,0
1,100152,29,0.6551724137931034,29.0,4.448275862068965,1,46.12413793103451,1,0.22,0,0,0,5,7,5,0
2,100265,307,0.5928338762214984,38.375,4.5667752442996745,17,37.81531962540717,20,0.77,0,1,0,95,52,14,1
3,100282,67,0.6119402985074627,22.333333333333332,4.104477611940299,5,57.89800995024878,13,0.5,0,1,0,18,15,6,1
4,100288,25,0.52,25.0,3.52,0,79.94000000000001,2,0.18,0,0,1,4,7,1,1
5,100303,27,0.5555555555555556,27.0,4.111111111111111,2,47.83000000000001,3,0.25,0,1,0,6,6,2,1
6,100455,50,0.58,12.5,4.74,3,58.78750000000002,7,0.39,0,0,0,12,11,3,1
7,100575,25,0.52,12.5,4.0,2,65.55550000000002,4,0.23,0,1,1,5,3,5,1
8,100749,118,0.4915254237288136,29.5,4.0,8,60.029788135593236,13,0.72,0,1,1,30,21,7,0
9,101345,85,0.6235294117647059,28.333333333333332,4.094117647058823,2,57.64607843137257,4,0.62,0,1,1,17,23,6,0
10,101693,33,0.8181818181818182,33.0,5.636363636363637,3,-26.623636363636365,1,0.25,0,0,0,12,10,4,1
11,101809,91,0.5934065934065934,45.5,4.241758241758242,4,43.514038461538476,10,0.64,1,1,0,22,18,5,0
12,101934,6,0.3333333333333333,6.0,3.8333333333333335,0,73.84500000000001,1,0.06,0,0,0,1,1,0,1
13,102881,133,0.6541353383458647,16.625,4.6992481203007515,12,51.292955827067686,13,0.79,0,1,0,36,28,13,1
14,102931,58,0.5344827586206896,58.0,4.879310344827586,4,9.396034482758637,7,0.47,0,0,0,16,9,3,0
15,103799,224,0.5758928571428571,11.789473684210526,4.383928571428571,14,74.38921992481207,31,0.8,1,1,1,56,33,21,0
16,103993,82,0.7439024390243902,16.4,3.7439024390243905,2,74.6377804878049,24,0.52,1,0,1,22,16,11,1
17,10464,258,0.5,10.75,4.1937984496124034,13,76.89351744186048,46,0.7,1,1,1,49,54,11,1
18,105269,297,0.5959595959595959,17.470588235294116,4.383838383838384,8,67.18720142602497,54,0.8,0,1,1,54,62,31,0
19,10538,86,0.5930232558139535,28.666666666666668,5.174418604651163,15,31.163914728682187,5,0.65,0,0,0,29,18,3,0
20,105834,231,0.6147186147186147,12.157894736842104,3.9913419913419914,7,73.63759398496244,24,0.68,0,1,1,55,54,16,0
21,105931,29,0.6896551724137931,29.0,4.379310344827586,2,31.537931034482796,5,0.22,0,0,0,8,9,1,0
22,106078,147,0.6122448979591837,29.4,3.639455782312925,7,80.30828571428576,29,0.68,0,1,1,42,35,15,0
23,106106,9,1.0,9.0,8.777777777777779,0,197.70000000000002,7,0.02,0,0,0,9,0,0,0
24,106193,102,0.6568627450980392,51.0,4.4411764705882355,7,23.19352941176473,18,0.69,1,1,0,33,18,12,0
25,106347,29,0.6206896551724138,14.5,4.379310344827586,1,69.59336206896553,2,0.26,1,0,1,6,7,4,1
26,107565,245,0.5591836734693878,24.5,4.114285714285714,11,59.383826530612254,27,0.73,1,1,1,41,60,13,1
27,107676,79,0.5822784810126582,79.0,4.063291139240507,5,13.136075949367111,6,0.6,0,1,0,14,18,6,0
28,107807,144,0.5833333333333334,16.0,4.375,7,67.22000000000001,14,0.71,0,1,0,32,26,16,0
29,108405,43,0.6976744186046512,43.0,5.162790697674419,2,3.827209302325599,0,0.28,1,0,0,19,4,7,1
30,109611,115,0.5739130434782609,19.166666666666668,3.8521739130434782,4,68.20518115942029,11,0.74,0,0,1,20,24,13,0
31,109836,49,0.7346938775510204,16.333333333333332,4.428571428571429,2,40.04850340136059,5,0.37,0,0,0,16,10,6,1
32,110331,30,0.5333333333333333,10.0,4.2,2,55.685,3,0.24,0,1,0,3,8,3,1
33,111631,160,0.53125,13.333333333333334,4.54375,8,70.10291666666669,18,0.72,0,1,1,38,26,12,0
34,111932,387,0.5813953488372093,14.884615384615385,4.3023255813953485,23,67.34106887298748,44,0.81,1,1,1,84,81,30,0
35,112526,14,0.6428571428571429,14.0,3.642857142857143,1,77.81071428571428,2,0.12,0,0,0,0,6,2,0
36,11387,97,0.6185567010309279,97.0,4.453608247422681,4,-22.44474226804121,5,0.69,1,1,0,24,23,11,1
37,114963,109,0.5596330275229358,9.083333333333334,3.9908256880733943,4,81.19339831804284,23,0.7,0,1,1,17,26,5,0
38,116212,152,0.5723684210526315,76.0,4.315789473684211,17,1.6818421052632004,12,0.62,0,1,1,42,28,14,0
39,116599,93,0.6021505376344086,93.0,4.053763440860215,2,-18.55354838709674,10,0.65,0,0,0,16,17,9,0
40,116615,116,0.5689655172413793,19.333333333333332,4.456896551724138,9,58.853045977011504,10,0.64,1,1,0,34,19,12,0
41,116720,43,0.5581395348837209,5.375,3.488372093023256,2,79.39797965116281,12,0.34,1,0,0,9,11,1,0
42,117359,30,0.5,30.0,3.9,0,55.12500000000003,4,0.23,0,0,0,6,4,1,0
43,118559,47,0.6170212765957447,15.666666666666666,4.0638297872340425,2,77.53333333333335,4,0.33,0,0,0,7,16,3,1
44,119220,234,0.5341880341880342,29.25,4.2094017094017095,15,57.115480769230786,32,0.73,0,1,1,57,44,20,0
45,119243,38,0.5789473684210527,38.0,3.763157894736842,1,65.85447368421055,4,0.25,0,0,0,8,11,0,1
46,119966,24,0.6666666666666666,24.0,4.625,0,52.05000000000001,2,0.2,0,0,0,5,4,4,0
47,120141,57,0.5614035087719298,57.0,3.789473684210526,3,37.66421052631581,5,0.4,0,0,1,14,11,4,0
48,120297,17,0.47058823529411764,17.0,3.1176470588235294,1,104.98000000000002,2,0.12,0,0,0,1,6,0,0
49,121067,72,0.5833333333333334,72.0,4.597222222222222,3,13.905000000000001,3,0.5,0,1,0,17,18,3,0
50,12179,64,0.625,16.0,4.546875,4,53.120000000000005,9,0.51,0,1,1,18,11,7,1
51,121941,59,0.5254237288135594,29.5,4.101694915254237,0,65.04843220338985,14,0.49,0,1,0,17,8,3,1
52,122836,148,0.5675675675675675,37.0,3.7635135135135136,8,62.958378378378384,28,0.65,0,1,0,25,32,13,0
53,123038,45,0.6888888888888889,22.5,4.7555555555555555,3,41.11750000000001,7,0.38,0,0,0,14,10,4,1
54,123466,85,0.6235294117647059,85.0,3.847058823529412,0,8.091764705882383,9,0.63,0,1,0,14,21,7,0
